sku,item_name,category,subcategory,unit_cost,supplier,package_size
BURG-01,Cheeseburger,FOOD,,2.71,Hoos Wholesale,single
CHEESEBURGER,cheese burger,Concessions,Cheeseburger,3.19,Cavalier Provisions,1
SKU#10044,Cheeseburger ,food,Cheeseburger,3.83,Hoos Wholesale,single
ITM-PULLED-POR,Pulled Pork Sandwich,food,Pulled,$3.65,Rotunda Restaurant Group,single
ITM-CHICKEN-TA,Chicken Tacos,FOOD,Chicken,3.13,Rotunda Restaurant Group,each
ITM-HOT-DOG,Hot Dog,food,Hot,2.50,Blue Ridge Foods,1
ITM-CHEESE-PIZ,Cheese Pizza Slice,Food,Cheese,1.68,Hoos Wholesale,single
ITM-BUFFALO-WI,Buffalo Wings (6),Food,Buffalo,5.18,Grounds Supply Co,pack
ITM-BAGEL-SAND,Bagel Sandwich,food,,2.96,Hoos Wholesale,1
ITM-KETTLE-COR,Kettle Corn,FOOD,,2.06,Blue Ridge Foods,single
ITM-FUNNEL-CAK,Funnel Cake,food,Funnel,$3.39,Rotunda Restaurant Group,single
ITM-BOTTLED-WA,Bottled Water,Drink,Bottled,1.27,Rotunda Restaurant Group,single
ITM-LEMONADE,Lemonade,Drinks,Lemonade,2.02,Grounds Supply Co,single
ITM-COLD-BREW-,Cold Brew Coffee,Beverage,Cold,1.71,Cavalier Provisions,each
ITM-HOT-CHOCOL,Hot Chocolate,Drink,,2.02,Hoos Wholesale,pack
ITM-SODA,Soda,Drink,Soda,1.11,Cavalier Provisions,1
TS-01,UVA T-Shirt,Merch,,9.17,Blue Ridge Foods,1
TSHIRT,uva t shirt,Merchandise,UVA,12.57,Rotunda Restaurant Group,each
SKU#40021,University of Virginia Tee,Merchandise,UVA,8.67,Cavalier Provisions,each
ITM-CAVALIERS-,Cavaliers Hat,MERCH,Cavaliers,11.00,Blue Ridge Foods,1
FF-01,Foam Finger,Merch,Foam,5.59,Grounds Supply Co,single
SKU#88123,foam finger #1,Apparel,,5.95,Rotunda Restaurant Group,single
FOAMFINGER,UVA Foam Finger,MERCH,Foam,6.68,Cavalier Provisions,each
FF_BLUE,Foam Finger (Blue),Apparel,Foam,5.33,Hoos Wholesale,single
ITM-TEAM-SCARF,Team Scarf,MERCH,Team,8.00,Hoos Wholesale,single
ITM-POM-POM,Pom-Pom,Apparel,Pom-Pom,3.31,Grounds Supply Co,1
PON-01,Rain Poncho,Weather Gear,Rain,2.49,Blue Ridge Foods,single
PONCHO,rain poncho,Weather Gear,Rain,2.55,Rotunda Restaurant Group,1
SKU#55019,Disposable Poncho,Weather Gear,Rain,$2.85,Grounds Supply Co,1
RAINPON-CLR,Clear Rain Poncho,rain-gear,,3.01,Grounds Supply Co,each
ITM-TRAVEL-UMB,Travel Umbrella,Weather Gear,Travel,5.92,Grounds Supply Co,each
ITM-STADIUM-SE,Stadium Seat Cushion,RainGear,Stadium,3.73,Rotunda Restaurant Group,single
