vendor_id,vendor_name,vendor_type,zone,distance_to_stadium_m,latitude,longitude,opened_year
V-01,Hoos Burgers Truck,Food Truck,A,120,38.0312,-78.5137,2019
V-02,Cavalier BBQ Pit,Food Truck,A,150,38.0315,-78.5142,2015
V-03,Rotunda Tacos,Food Truck,A,180,38.0309,-78.5131,2021
V-04,Grounds Coffee Cart,Cart,A,90,38.0318,-78.5139,2018
V-05,Wahoo Wings,Food Truck,B,420,38.0355,-78.5008,2016
V-06,The Corner Grill,Restaurant,B,460,38.0357,-78.5001,2004
V-07,Orange & Blue Pizza,Restaurant,B,510,38.0361,-78.4996,2010
V-08,Little John's Subs,Restaurant,B,530,38.036,-78.499,1976
V-09,Bodo's Bagels Stand,Cart,B,480,38.0358,-78.5012,1988
V-10,Cav Merch Tent North,Merch,A,110,38.032,-78.5145,2012
V-11,Cav Merch Tent South,Merch,A,130,38.0305,-78.5128,2012
V-12,Streetside Souvenirs,Merch,B,500,38.0359,-78.4998,2014
V-13,Lot 30 Lemonade,Cart,C,850,,,2020
V-14,Tailgate Kettle Corn,Cart,C,900,38.0281,-78.5175,2017
V-15,Blue Ridge Ice Cream,Cart,C,780,38.0294,-78.516,2013
V-16,Stadium Dogs,Food Truck,A,100,38.0317,-78.5133,2011
V-17,Charlottesville Cold Brew,Cart,B,470,38.0356,-78.5015,2022
V-18,Rally Rain Gear,Merch,A,140,38.0308,-78.5147,2023
V-19,Hoo's Hot Chocolate,Cart,C,820,,,2021
V-20,Fifth Year Funnel Cakes,Cart,C,870,38.0285,-78.5172,2016
